Hotel_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Souillac,MU,73.69,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
2,Beloha,MG,79.45,few clouds,-25.1667,45.05,
5,Tonj,SS,90.77,overcast clouds,7.2737,28.6822,Lakan Hotel
6,Kloulklubed,PW,83.59,few clouds,7.0419,134.2556,Storyboard Beach Resort
7,Plettenberg Bay,ZA,67.8,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
11,Ihosy,MG,82.38,clear sky,-22.4,46.1167,Tamana hôtel
13,Georgetown,MY,81.23,scattered clouds,5.4112,100.3354,Cititel Penang
16,Bulungu,CD,83.91,light rain,-4.55,18.6,Maison MC Michel
18,Pangai,TO,78.48,light rain,-19.8,-174.35,Ha'apai Beach Resort
25,Carnarvon,AU,66.79,clear sky,-24.8667,113.6333,Hospitality Carnarvon
26,Castro,BR,75.34,clear sky,-24.7911,-50.0119,CHACARA BAILLY
28,Sassandra,CI,83.21,light rain,4.95,-6.0833,la terrasse
29,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
31,Hermanus,ZA,69.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
32,Kirakira,SB,78.46,light rain,-10.4544,161.9205,SanBiz Lodge
34,Bengkulu,ID,76.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,Kavieng,PG,81.05,light rain,-2.5744,150.7967,Nusa Island Retreat
37,Rikitea,PF,73.51,overcast clouds,-23.1203,-134.9692,People ThankYou
39,Hithadhoo,MV,81.93,few clouds,-0.6,73.0833,Scoop Guest House
40,Bandar-E Lengeh,IR,83.07,clear sky,26.5579,54.8807,کافی نت پارس
41,Sinnamary,GF,83.03,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
44,Saint-Philippe,RE,78.39,clear sky,-21.3585,55.7679,Le four à pain
46,Whyalla,AU,66.09,haze,-33.0333,137.5833,Foreshore Motor Inn
47,Bambous Virieux,MU,76.21,clear sky,-20.3428,57.7575,Casa Tia Villa
49,Port Alfred,ZA,75.49,moderate rain,-33.5906,26.891,The Halyards Hotel & Spa
50,Cam Ranh,VN,75.16,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
51,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
52,Ribeira Grande,PT,65.77,broken clouds,38.5167,-28.7,Quinta da Meia Eira
56,Isangel,VU,77.85,overcast clouds,-19.55,169.2667,Tanna Lodge
57,Songwa,TZ,77.31,broken clouds,-3.5167,33.5167,
59,Butaritari,KI,80.49,broken clouds,3.0707,172.7902,Isles Sunset Lodge
65,Vao,NC,73.15,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
