City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Dunedin,NZ,2022-11-12 14:07:54,-45.8742,170.5036,50.81,92,100,3.24,overcast clouds
1,Souillac,MU,2022-11-12 14:04:12,-20.5167,57.5167,73.69,63,0,8.66,clear sky
2,Beloha,MG,2022-11-12 14:05:32,-25.1667,45.05,79.45,63,19,20.56,few clouds
3,Heinsberg,DE,2022-11-12 14:07:55,51.0667,6.0833,63.46,72,53,2.33,broken clouds
4,New Norfolk,AU,2022-11-12 14:02:58,-42.7826,147.0587,47.91,67,100,0.89,overcast clouds
5,Tonj,SS,2022-11-12 14:07:55,7.2737,28.6822,90.77,21,100,1.72,overcast clouds
6,Kloulklubed,PW,2022-11-12 14:07:55,7.0419,134.2556,83.59,77,15,11.23,few clouds
7,Plettenberg Bay,ZA,2022-11-12 14:04:05,-34.0527,23.3716,67.8,68,47,8.48,scattered clouds
8,Lagoa,PT,2022-11-12 13:58:52,39.05,-27.9833,60.69,70,100,24.29,overcast clouds
9,Tuatapere,NZ,2022-11-12 14:02:55,-46.1333,167.6833,46.42,88,87,3.91,overcast clouds
10,Ushuaia,AR,2022-11-12 14:02:48,-54.8,-68.3,51.24,55,22,5.1,few clouds
11,Ihosy,MG,2022-11-12 14:07:56,-22.4,46.1167,82.38,43,5,12.75,clear sky
12,Dikson,RU,2022-11-12 14:02:52,73.5069,80.5464,-8.27,100,98,4.74,overcast clouds
13,Georgetown,MY,2022-11-12 14:04:11,5.4112,100.3354,81.23,88,40,2.3,scattered clouds
14,Nikolskoye,RU,2022-11-12 14:02:56,59.7035,30.7861,53.49,70,1,18.32,clear sky
15,Te Anau,NZ,2022-11-12 14:07:56,-45.4167,167.7167,45.19,79,76,1.68,broken clouds
16,Bulungu,CD,2022-11-12 14:07:56,-4.55,18.6,83.91,58,61,4.16,light rain
17,Talnakh,RU,2022-11-12 14:04:15,69.4865,88.3972,-27.4,99,61,2.33,broken clouds
18,Pangai,TO,2022-11-12 14:07:57,-19.8,-174.35,78.48,81,29,6.42,light rain
19,Tasiilaq,GL,2022-11-12 14:07:57,65.6145,-37.6368,35.76,80,100,33.15,overcast clouds
20,Mataura,NZ,2022-11-12 14:02:56,-46.1927,168.8643,43.65,94,78,2.57,broken clouds
21,Ostrovnoy,RU,2022-11-12 14:07:57,68.0531,39.5131,36.19,96,100,18.72,light rain
22,Punta Arenas,CL,2022-11-12 14:01:47,-53.15,-70.9167,46.11,70,10,10.67,clear sky
23,Kapuskasing,CA,2022-11-12 14:06:09,49.4169,-82.4331,22.1,92,100,12.15,light snow
24,Moshenskoye,RU,2022-11-12 14:07:58,58.5102,34.5911,53.24,74,100,19.66,overcast clouds
25,Carnarvon,AU,2022-11-12 14:04:02,-24.8667,113.6333,66.79,60,0,28.1,clear sky
26,Castro,BR,2022-11-12 14:03:01,-24.7911,-50.0119,75.34,58,10,4.72,clear sky
27,Busselton,AU,2022-11-12 14:04:13,-33.65,115.3333,53.01,82,81,9.95,broken clouds
28,Sassandra,CI,2022-11-12 14:07:58,4.95,-6.0833,83.21,71,92,6.15,light rain
29,Vila Velha,BR,2022-11-12 14:07:59,-20.3297,-40.2925,80.55,77,40,10.36,scattered clouds
30,Half Moon Bay,US,2022-11-12 14:07:59,37.4636,-122.4286,51.1,92,20,4.61,few clouds
31,Hermanus,ZA,2022-11-12 14:05:22,-34.4187,19.2345,69.8,55,0,23.53,clear sky
32,Kirakira,SB,2022-11-12 14:07:59,-10.4544,161.9205,78.46,86,94,4.81,light rain
33,Ust-Nera,RU,2022-11-12 14:07:59,64.5667,143.2,-13.65,97,100,4.05,overcast clouds
34,Bengkulu,ID,2022-11-12 14:05:31,-3.8004,102.2655,76.6,87,100,2.35,overcast clouds
35,Kavieng,PG,2022-11-12 14:08:00,-2.5744,150.7967,81.05,80,100,9.4,light rain
36,Beausejour,CA,2022-11-12 14:08:00,50.0622,-96.5167,1.9,98,74,4.05,broken clouds
37,Rikitea,PF,2022-11-12 14:02:49,-23.1203,-134.9692,73.51,86,100,15.52,overcast clouds
38,Airai,TL,2022-11-12 14:08:00,-8.9266,125.4092,63.59,94,100,0.54,overcast clouds
39,Hithadhoo,MV,2022-11-12 14:05:30,-0.6,73.0833,81.93,72,17,15.84,few clouds
40,Bandar-E Lengeh,IR,2022-11-12 14:08:01,26.5579,54.8807,83.07,64,7,4.65,clear sky
41,Sinnamary,GF,2022-11-12 14:08:01,5.3833,-52.95,83.03,71,62,6.73,moderate rain
42,Rupert,US,2022-11-12 14:08:01,42.6191,-113.6772,19.35,86,0,13.8,clear sky
43,Thompson,CA,2022-11-12 14:00:43,55.7435,-97.8558,-23.64,69,100,0.0,fog
44,Saint-Philippe,RE,2022-11-12 14:05:24,-21.3585,55.7679,78.39,68,9,7.9,clear sky
45,Qaanaaq,GL,2022-11-12 14:02:57,77.484,-69.3632,-1.28,65,5,6.64,clear sky
46,Whyalla,AU,2022-11-12 14:08:02,-33.0333,137.5833,66.09,88,100,9.22,haze
