City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2022-11-08 14:28:27,-20.4081,57.7,76.24,73,40,9.22
1,Ushuaia,AR,2022-11-08 14:28:27,-54.8,-68.3,53.26,54,75,20.71
2,Butaritari,KI,2022-11-08 14:28:27,3.0707,172.7902,80.33,74,99,9.48
3,Victoria,HK,2022-11-08 14:28:27,22.2855,114.1577,74.32,87,94,4.0
4,Rikitea,PF,2022-11-08 14:28:28,-23.1203,-134.9692,74.73,90,96,15.7
5,Cape Town,ZA,2022-11-08 14:28:28,-33.9258,18.4232,73.27,53,40,11.5
6,Hermanus,ZA,2022-11-08 14:28:28,-34.4187,19.2345,65.8,73,60,13.98
7,Tasiilaq,GL,2022-11-08 14:28:28,65.6145,-37.6368,30.36,89,100,5.91
8,Vaini,TO,2022-11-08 14:28:29,-21.2,-175.2,73.56,88,20,8.05
9,Yunhe,CN,2022-11-08 14:28:29,34.0833,119.7167,56.21,88,13,6.76
10,Basco,PH,2022-11-08 14:28:29,20.4487,121.9702,79.97,80,9,17.31
11,Hilo,US,2022-11-08 14:28:30,19.7297,-155.09,72.63,92,100,5.99
12,Barrow,US,2022-11-08 14:28:30,71.2906,-156.7887,26.62,93,100,21.85
13,Roebourne,AU,2022-11-08 14:28:30,-20.7833,117.1333,73.26,59,0,18.01
14,Suvorovo,BG,2022-11-08 14:28:30,43.3333,27.6,59.7,49,86,1.97
15,Guozhen,CN,2022-11-08 14:28:31,34.3659,107.359,52.39,91,64,1.03
16,Diamantino,BR,2022-11-08 14:28:31,-14.4086,-56.4461,94.01,25,0,0.54
17,Kapaa,US,2022-11-08 14:28:31,22.0752,-159.319,77.32,83,75,16.11
18,Avarua,CK,2022-11-08 14:28:32,-21.2078,-159.775,69.85,73,10,5.75
19,Constitucion,CL,2022-11-08 14:28:32,-35.3333,-72.4167,57.9,77,100,6.26
20,Hudson Bay,CA,2022-11-08 14:28:32,52.85,-102.3842,22.87,97,100,5.66
21,Prainha,BR,2022-11-08 14:28:32,-1.8,-53.48,80.47,76,89,2.62
22,Chokurdakh,RU,2022-11-08 14:28:33,70.6333,147.9167,-10.34,100,94,9.06
23,Shingu,JP,2022-11-08 14:28:33,33.7333,135.9833,54.03,76,0,7.09
24,Loreto,MX,2022-11-08 14:28:33,22.2667,-101.9667,54.75,85,7,3.8
25,Puerto Ayora,EC,2022-11-08 14:28:33,-0.7393,-90.3518,71.56,84,42,4.0
26,Preobrazheniye,RU,2022-11-08 14:28:34,42.9019,133.9064,39.92,59,3,7.7
27,Santa Maria,BR,2022-11-08 14:28:34,-29.6842,-53.8069,69.1,56,75,13.8
28,Kaitangata,NZ,2022-11-08 14:28:35,-46.2817,169.8464,47.95,95,61,4.09
29,Lavrentiya,RU,2022-11-08 14:28:36,65.5833,-171.0,30.67,98,100,19.22
